price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,LONGITUDE,LATITUDE
7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished,22.803593,83.755013
7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished,19.014858,72.8662
7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished,20.36667,72.9
7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished,28.460928,77.039391
7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished,24.69028,78.41889
7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished,24.69028,78.41889
7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,12.843852,74.845271
7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished,13.077175,80.151453
7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished,28.431862,77.351104
7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,19.048403,72.88731
7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,25.232239,71.392013
7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,19.245347,73.124577
7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished,28.431862,77.351104
7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,19.88879,75.34344
7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,28.567633,77.383124
7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished,12.985039,77.54383
7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished,22.589694,88.372957
7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished,19.014858,72.8662
7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished,26.955346,75.734793
7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished,24.69028,78.41889
7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished,10.77,76.38
7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished,28.506454,77.409568
6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished,28.406388,77.342588
6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished,19.12,72.91
6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished,13.11389,77.59833
6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished,26.850391,75.814198
6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished,28.368269,77.37273
6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,16.51667,80.61667
6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished,15.86667,74.5
6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished,23.25,77.41667
6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished,13.0915,74.7844
6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished,21.093676,79.111965
6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished,18.5438,73.9438
6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished,19.216097,72.821721
6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished,19.1615,72.8731
6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,22.452032,88.298947
6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished,12.9506,77.5952
6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,20.742166,80.104602
6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,28.66667,77.41667
6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished,21,77
6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,28.577673,77.389781
6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished,18.966114,73.148278
6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished,22.56972,88.36972
6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,26.706157,88.439748
6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished,23.169982,77.477889
6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,26.900926,75.775927
6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished,12.98556,77.66389
6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,12.91716,80.19287
6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished,28.506454,77.409568
6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished,12.863421,77.652405
6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,19.049513,72.919204
6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished,30.654128,76.732427
6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,23.207157,88.404471
6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished,26.459137,79.506922
6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,23.2257,72.51679
6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished,18.441256,74.647361
6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished,26.8626,75.7633
6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,28.5035,77.426447
6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished,19.147866,72.932609
6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished,11.93,79.83
6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished,28.560719,77.386208
6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,12.96991,77.59796
6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished,18.4543,73.1147
6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,19.18,72.96333
6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,28.66667,77.41667
6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished,13.069866,80.198423
6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,28.861993,78.756315
6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,19.980678,79.297436
6090000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished,28.576117,77.382136
6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished,28.6711,77.3683
6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,9.952439,76.3632965
6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished,18.75,73.08
6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,30.661104,76.746082
6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished,13.008071,77.651295
5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished,27.216013,77.950834
5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished,23.35556,85.33472
5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,22.43917,88.39583
5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,28.403138,77.070052
5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,12.840956,77.659441
5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,13.278237,74.747328
5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished,18.96,72.82
5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished,28.59632,77.38143
5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,28.394375,77.357227
5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,28.579004,77.431173
5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished,23.166495,72.63429
5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished,26.707154,80.982346
5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,12.80009,77.71182
5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,18.5438,73.9438
5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,19.128324,72.825408
5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,28.6423,77.3445
5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished,12.9816,77.6729
5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,26.955346,75.734793
5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,19.239813,72.962722
5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,12.905368,77.580403
5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished,9.930471,76.271273
5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,28.568846,77.324966
5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,22.312063,72.674296
5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished,28.582887,77.339935
5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,22.1764,75.8193
5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished,12.977126,77.577724
5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,26.29564,73.03943
5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,26.900926,75.775927
5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished,19.048979,73.078232
5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished,24.69028,78.41889
5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished,11.026678,76.903583
5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,26.878068,75.779856
5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished,12.96991,77.59796
5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,21.56128,74.21238
5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,13.141581,77.749756
5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,22.261354,73.215533
5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished,12.905538,77.694263
5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished,30.684523,76.691728
5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,9.930471,76.271273
5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,18.96,72.82
5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished,18.964489,73.019574
5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,12.96991,77.59796
5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished,28.6711,77.3683
5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished,22.53028,88.33417
5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,28.535689,77.359671
5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,26.928785,75.828002
5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,12.8855,77.5638
5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,12.928575,77.585721
5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished,18.475864,73.890009
5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished,20.098413,79.10786
5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,19.1145,72.8712
5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,26.16667,75.78333
5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished,19.255098,72.9815265
5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,28.593566,77.362752
5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,12.995285,77.766797
5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,13.1101,80.2095
5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished,19.0168,73.09646
5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,19.126499,72.99956
5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,19.255098,72.9815265
5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished,22.271214,73.188827
5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,13.020957,80.152774
5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,28.538774,77.366515
5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,28.368269,77.37273
5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished,12.86,77.786
5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished,28.2102,76.8606
5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished,28.526624,77.376718
5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,20.286571,85.810906
5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished,22.5922,88.484911
5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,19.221571,73.042474
5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished,28.66667,77.41667
5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,19.040066,73.115347
5075000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,12.8458,77.6727
5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished,18.96,72.82
5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished,19.1615,72.8731
5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished,28.495803,77.426848
5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,20.606469,72.913465
5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,19.245347,73.124577
5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,19.585537,72.836868
4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,20.098413,79.10786
4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,28.66667,77.41667
4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,12.904179,77.665897
4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,12.758604,77.700377
4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished,21.17,72.83
4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,40.67197199,-86.15292909
4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,19.239813,72.962722
4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,12.880993,77.557654
4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,13.033421,77.603954
4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,22.301625,88.242147
4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,28.678014,77.38296
4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,22.486821,88.233267
4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,13.086769,80.191135
4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished,20.257483,85.780142
4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished,24.69028,78.41889
4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,26.900926,75.775927
4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished,19.696531,72.767746
4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,12.957707,80.183671
4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,25.248438,83.014116
4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished,12.96991,77.59796
4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,28.546788,77.378494
4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,19.18,72.96333
4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished,23.182972,72.611485
4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,18.5438,73.9438
4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,30.697795,76.714722
4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,24.69028,78.41889
4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished,26.154874,91.670312
4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished,26.91667,75.86667
4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished,28.5679,77.3679
4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,18.485487,73.803773
4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,12.8356,80.1682
4690000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished,20.892133,77.741664
4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished,28.522931,77.357078
4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished,28.506454,77.409568
4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,28.558047,77.392752
4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,24.69028,78.41889
4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,17.7,83.25
4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished,19.1615,72.8731
4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,22.311323,73.121275
4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,28.406794,76.936447
4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished,30.664299,76.817624
4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,28.34532,77.299035
4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,19.218498,72.992114
4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished,26.16667,91.76667
4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished,28.536585,77.383669
4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished,22.281215,70.789479
4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished,18.49667,73.94167
4550000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished,19.402549,72.854418
4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished,26.882832,81.033767
4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,18.96,72.82
4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished,24.69028,78.41889
4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,19.255098,72.9815265
4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished,19.05871,72.89969
4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished,19.18,72.96333
4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished,22.55,72.9
4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,18.914541,72.818211
4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,28.629811,77.434197
4515000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished,28.602325,77.401994
4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished,19.222101,72.988231
4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,12.919423,77.522774
4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,19.124896,72.893503
4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished,12.91668,77.59196
4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished,13.055985,77.622157
4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,28.6423,77.3445
4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished,13.603543,79.460402
4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished,17.546483,78.480303
4473000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished,18.6182,73.7447
4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,28.359199,76.836683
4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,12.9223,77.5532
4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,19.1759,72.9522
4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,22.3301,73.1611
4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,21.152442,81.090184
4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished,28.689982,77.339807
4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,22.54111,88.33778
4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished,18.11667,83.41667
4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished,28.388225,76.946376
4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished,22.598675,88.438512
4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,28.381971,77.347688
4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished,26.13722,91.62778
4340000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,12.995285,77.766797
4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished,18.5438,73.9438
4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished,21.250076,81.660749
4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished,24.69028,78.41889
4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished,10.5339,76.2085
4270000,6360,2,1,1,yes,no,no,no,no,0,no,furnished,28.543278,77.358896
4270000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished,19.12,72.91
4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished,28.429614,77.481711
4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished,24.586021,80.787404
4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished,20.07911,73.911636
4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished,12.96991,77.59796
4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished,19.980678,79.297436
4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished,9.90708,78.102316
4200000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,24.69028,78.41889
4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,12.80009,77.71182
4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,30.662283,76.822397
4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished,25.232239,71.392013
4200000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,12.913771,77.768321
4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished,26.807408,75.838659
4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished,26.900926,75.775927
4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished,24.69028,78.41889
4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished,28.403138,77.070052
4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,30.661104,76.746082
4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished,12.96991,77.59796
4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,21.189685,72.841062
4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished,24.69028,78.41889
4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished,24.69028,78.41889
4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,30.714837,76.751896
4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished,28.388225,76.946376
4200000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished,19.1758,72.8643
4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,12.852041,77.616315
4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,19.038205,73.06612
